purchase_id,customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method
P00004,C0343,Sports,Yoga Mat,2.0,374.8,2024-09-08,CA,Standard
P00005,C0022,Books,Rug,5.0,311.48,2024-06-28,NY,Express
P00006,C0121,Electronics,Basketball,3.0,31.62,2024-08-28,CA,Overnight
P00012,C0444,Sports,Cushion,5.0,54.5,2024-09-27,CA,Overnight
P00017,C0337,Home & Garden,Garden Tools,3.0,234.02,2024-11-04,NY,Express
P00020,C0132,Home & Garden,Basketball,3.0,328.9,2024-07-28,CA,Standard
P00025,C0346,Clothing,Jeans,3.0,168.09,2024-02-03,NY,Express
P00027,C0056,Clothing,Hat,4.0,15.8,2024-06-29,CA,Express
P00030,C0477,Electronics,Headphones,4.0,173.13,2024-08-17,CA,
P00033,C0185,Electronics,Lamp,5.0,37.16,2024-12-26,NY,Express
P00038,C0181,Books,Headphones,3.0,27.59,2024-03-13,CA,Standard
P00040,C0219,Clothing,Novel,5.0,443.72,2024-06-29,NY,Express
P00046,C0444,Electronics,Cushion,5.0,89.55,2024-05-02,CA,Overnight
P00050,C0285,Electronics,Cookbook,5.0,439.32,2024-06-04,CA,Express
P00054,C0322,Home & Garden,Hat,4.0,193.8,2024-08-15,NY,Express
P00057,C0069,Clothing,Monitor,4.0,48.09,2024-04-04,CA,Express
P00059,C0284,Books,Basketball,3.0,238.16,2024-01-21,NY,Overnight
P00063,C0271,Home & Garden,Headphones,4.0,347.17,2024-07-09,NY,Express
P00065,C0325,Sports,Monitor,3.0,329.89,2024-09-25,NY,Overnight
P00071,C0073,Electronics,Smartphone,2.0,160.76,2024-09-29,NY,Express
P00075,C0021,Books,Rug,5.0,135.7,2024-03-01,CA,Express
P00080,C0254,Sports,T-Shirt,2.0,121.94,2024-11-06,CA,Standard
P00089,C0116,Electronics,Jeans,4.0,346.97,2024-04-08,CA,Standard
P00096,C0131,Sports,Cushion,2.0,476.75,2024-02-27,CA,Standard
P00097,C0081,Clothing,Plant Pot,2.0,326.69,2024-05-22,NY,Standard
P00103,C0423,Home & Garden,Yoga Mat,5.0,134.9,2024-08-07,CA,Overnight
P00105,C0463,Books,Running Shoes,3.0,11.76,2024-11-24,CA,Express
P00113,C0064,Books,Lamp,2.0,199.99,2024-09-25,NY,Standard
P00114,C0296,Electronics,Dumbbells,3.0,285.72,2024-01-05,CA,Standard
P00116,C0015,Home & Garden,Tennis Racket,5.0,477.54,2024-07-10,NY,Overnight
P00119,C0493,Sports,Cushion,4.0,305.16,2024-10-29,CA,Overnight
P00124,C0227,Clothing,Magazine,5.0,299.26,2024-08-10,CA,Standard
P00138,C0097,Home & Garden,Textbook,3.0,452.3,2024-02-16,CA,Express
P00142,C0082,Sports,Yoga Mat,5.0,306.77,2024-09-16,NY,Overnight
P00143,C0342,Home & Garden,Cookbook,4.0,54.28,2024-11-11,NY,Standard
P00146,C0388,Home & Garden,Plant Pot,3.0,361.02,2024-02-10,NY,Standard
P00148,C0216,Books,Textbook,4.0,249.97,2024-01-22,CA,Overnight
P00149,C0322,Home & Garden,Textbook,4.0,407.06,2024-05-12,CA,Standard
P00153,C0275,Books,Garden Tools,5.0,169.92,2024-08-28,NY,Express
P00156,C0440,Books,Novel,3.0,346.09,2024-01-28,NY,Standard
P00157,C0221,Clothing,Shoes,4.0,48.73,2024-08-16,NY,Standard
P00158,C0364,Clothing,Textbook,4.0,15.95,2024-06-18,CA,Express
P00160,C0372,Sports,Dumbbells,5.0,416.12,2024-12-07,CA,Standard
P00165,C0131,Clothing,Dumbbells,2.0,138.24,2024-06-07,NY,Standard
P00171,C0021,Sports,T-Shirt,2.0,432.04,2024-06-06,CA,
P00173,C0272,Home & Garden,Smartphone,3.0,209.83,2024-01-15,NY,Standard
P00179,C0116,Sports,Monitor,4.0,21.91,2024-10-11,CA,Standard
P00180,C0449,Sports,Jeans,3.0,241.21,2024-11-15,NY,Standard
P00185,C0353,Clothing,T-Shirt,2.0,124.76,2024-02-16,NY,Overnight
P00188,C0408,Clothing,Dumbbells,3.0,478.87,2024-11-23,NY,Overnight
P00189,C0369,Books,T-Shirt,4.0,179.29,2024-05-17,CA,Overnight
P00190,C0320,Home & Garden,Plant Pot,5.0,170.64,2024-06-20,NY,Overnight
P00194,C0052,Electronics,Tablet,4.0,380.64,2024-06-03,NY,Standard
P00196,C0073,Home & Garden,Rug,4.0,282.37,2024-08-20,CA,Overnight
P00204,C0413,Clothing,Monitor,2.0,183.1,2024-09-28,CA,Overnight
P00208,C0167,Clothing,Textbook,2.0,146.97,2024-11-02,NY,Standard
P00210,C0022,Sports,Garden Tools,3.0,432.93,2024-01-09,CA,Overnight
P00212,C0235,Home & Garden,Cushion,5.0,80.69,2024-07-28,NY,Express
P00221,C0438,Books,Rug,2.0,300.39,2024-12-17,NY,Standard
P00224,C0269,Books,Tablet,5.0,364.05,2024-12-11,CA,Express
P00227,C0193,Clothing,Cushion,3.0,169.91,2024-09-04,NY,Overnight
P00240,C0136,Clothing,Textbook,2.0,284.88,2024-10-05,NY,
P00244,C0038,Sports,Laptop,3.0,337.31,2024-08-24,NY,Standard
P00253,C0371,Home & Garden,Monitor,2.0,244.1,2024-01-09,NY,Standard
P00254,C0409,Sports,Cookbook,4.0,342.4,2024-03-15,NY,Express
P00267,C0483,Books,Tennis Racket,5.0,240.2,2024-07-09,CA,Express
P00272,C0469,Books,Headphones,3.0,77.27,2024-08-28,NY,Express
P00277,C0113,Electronics,Jacket,2.0,257.67,2024-07-30,CA,Overnight
P00281,C0484,Electronics,Monitor,5.0,420.47,2024-06-15,NY,Standard
P00284,C0319,Home & Garden,Cookbook,4.0,26.43,2024-09-06,CA,Standard
P00285,C0021,Books,Tablet,2.0,451.12,2024-11-18,NY,
P00286,C0198,Home & Garden,Novel,5.0,53.55,2024-02-13,NY,Standard
P00293,C0055,Books,Garden Tools,4.0,371.46,2024-07-17,NY,Express
P00294,C0260,Sports,Cookbook,3.0,307.78,2024-10-18,CA,Express
P00300,C0462,Books,Shoes,2.0,219.04,2024-02-20,CA,Standard
P00303,C0166,Home & Garden,Magazine,2.0,350.44,2024-01-07,CA,Overnight
